gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,exchg,cik,costat,naicsh,sich,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,stko
001004,2020/05/31,2019,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,11,0000001750,A,423860,5080,2010,201010,20,20101010,423860,5080,110,925,0
001045,2020/12/31,2020,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,14,0000006201,A,481111,4512,2030,203020,20,20302010,481111,4512,605,600,0
001050,2020/12/31,2020,INDL,C,D,STD,CECE,125141101,CECO ENVIRONMENTAL CORP,USD,14,0000003197,A,333413,3564,2020,202010,20,20201050,333413,3564,345,925,0
001062,2020/11/30,2020,INDL,C,D,STD,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,0001230869,A,523999,6799,4020,402030,40,40203010,523999,6799,850,800,0
001062,2020/11/30,2020,FS,C,D,STD,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,0001230869,A,523999,6799,4020,402030,40,40203010,523999,6799,850,800,0
001075,2020/12/31,2020,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,11,0000764622,A,2211,4911,5510,551010,55,55101010,2211,4911,705,700,0
001076,2020/12/31,2020,INDL,C,D,STD,PRG,74319R101,PROG HOLDINGS INC,USD,11,0001808834,A,522220,6141,4020,402020,40,40202010,522220,6141,175,976,0
001078,2020/12/31,2020,INDL,C,D,STD,ABT,002824100,ABBOTT LABORATORIES,USD,11,0000001800,A,334510,3845,3510,351010,35,35101010,334510,3845,280,905,0
001084,2020/12/31,2020,INDL,C,D,STD,WDDD,98159J200,WORLDS INC,USD,19,0000001961,A,519130,7370,5020,502030,50,50203010,519130,7370,185,940,3
001096,2020/12/31,2020,INDL,C,D,STD,MRCBF,617577101,MORGUARD CORP,CAD,19,,A,,,6010,601020,60,60102020,531,6500,850,800,0
001097,2020/12/31,2020,INDL,C,D,STD,ACMTA,004616207,ACMAT CORP  -CL A,USD,19,0000002062,A,524126,6351,4030,403010,40,40301040,524126,6351,240,925,3
001104,2020/12/31,2020,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,0000002098,A,332215,3420,2020,202010,20,20201060,332215,3420,270,976,0
001117,2020/12/31,2020,INDL,C,D,STD,BKTI,05587G104,BK TECHNOLOGIES CORP,USD,12,0000002186,A,334220,3663,4520,452010,45,45201020,334220,3663,180,940,0
001119,2020/12/31,2020,INDL,C,D,STD,ADX,006212104,ADAMS DIVERSIFIED EQUITY FD,USD,11,0000002230,A,,,,,,,525990,6726,850,800,
001121,2020/12/31,2020,INDL,C,D,STD,AE,006351308,ADAMS RESOURCES & ENERGY INC,USD,12,0000002178,A,424720,5172,1010,101020,10,10102030,424720,5172,355,925,0
001161,2020/12/31,2020,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,14,0000002488,A,334413,3674,4530,453010,45,45301020,334413,3674,235,940,0
001166,2020/12/31,2020,INDL,C,D,STD,ASMIY,N07045102,ASM INTERNATIONAL NV,USD,19,0000351483,A,333242,3559,4530,453010,45,45301010,333242,3559,247,940,3
001186,2020/12/31,2020,INDL,C,D,STD,AEM,008474108,AGNICO EAGLE MINES LTD,USD,11,0000002809,A,212221,1040,1510,151040,15,15104030,212221,1040,265,970,0
001209,2020/09/30,2020,INDL,C,D,STD,APD,009158106,AIR PRODUCTS & CHEMICALS INC,USD,11,0000002969,A,325120,2810,1510,151010,15,15101040,325120,2810,160,970,0
001210,2020/03/31,2019,INDL,C,D,STD,AIRT,009207101,AIR T INC,USD,14,0000353184,A,492110,4513,2030,203010,20,20301010,492110,4513,110,925,0
