PERMNO,date,TICKER,PRC,RET,SPREAD,vwretd,vwretx
10107,31JAN2007,MSFT,30.86000,0.033490,,0.019397,0.018461
10107,28FEB2007,MSFT,28.17000,-0.083927,,-0.013988,-0.015979
10107,30MAR2007,MSFT,27.87000,-0.010650,,0.012950,0.011475
10107,30APR2007,MSFT,29.94000,0.074273,,0.039815,0.038449
10107,31MAY2007,MSFT,30.69010,0.028393,,0.038932,0.036643
10107,29JUN2007,MSFT,29.47000,-0.039756,,-0.014765,-0.016128
10107,31JUL2007,MSFT,28.99000,-0.016288,,-0.031760,-0.032764
10107,31AUG2007,MSFT,28.73000,-0.005519,,0.011630,0.009677
10107,28SEP2007,MSFT,29.46000,0.025409,,0.040842,0.039325
10107,31OCT2007,MSFT,36.81000,0.249491,,0.025796,0.024655
10107,30NOV2007,MSFT,33.60000,-0.084216,,-0.049327,-0.051276
10107,31DEC2007,MSFT,35.60000,0.059524,,-0.004423,-0.006511
10107,31JAN2008,MSFT,32.60000,-0.084270,,-0.062138,-0.063243
10107,29FEB2008,MSFT,27.19990,-0.162273,,-0.021663,-0.023605
10107,31MAR2008,MSFT,28.38000,0.043386,,-0.010421,-0.012160
10107,30APR2008,MSFT,28.52000,0.004933,,0.051060,0.049736
10107,30MAY2008,MSFT,28.32000,-0.003156,,0.023808,0.021494
10107,30JUN2008,MSFT,27.51000,-0.028602,,-0.078426,-0.080241
10107,31JUL2008,MSFT,25.72000,-0.065067,,-0.013341,-0.014690
10107,29AUG2008,MSFT,27.29000,0.065319,,0.010566,0.008576
10107,30SEP2008,MSFT,26.69000,-0.021986,,-0.097980,-0.099770
10107,31OCT2008,MSFT,22.33000,-0.163357,,-0.184648,-0.186136
10107,28NOV2008,MSFT,20.22000,-0.088670,,-0.084615,-0.087354
10107,31DEC2008,MSFT,19.44000,-0.038576,,0.022154,0.019087
10107,30JAN2009,MSFT,17.10000,-0.120370,,-0.077315,-0.078709
10107,27FEB2009,MSFT,16.15000,-0.047953,,-0.100271,-0.103457
10107,31MAR2009,MSFT,18.37000,0.137461,,0.086748,0.083489
