caldt,spindx,sprtrn,vwretd,vwretx
1925-12-31,,,,
1926-01-02,,,0.004297,0.004297
1926-01-04,,,-0.001357,-0.001357
1926-01-05,,,-0.004603,-0.004653
1926-01-06,,,0.000537,0.000537
1926-01-07,,,0.003907,0.003907
1926-01-08,,,-0.002693,-0.003221
1926-01-09,,,0.002218,0.002218
1926-01-11,,,-0.006515,-0.006608
1926-01-12,,,-0.001597,-0.001597
1926-01-13,,,0.003465,0.003465
1926-01-14,,,-0.005732,-0.005732
1926-01-15,,,-0.012153,-0.012979
1926-01-16,,,-0.000511,-0.000511
1926-01-18,,,0.004508,0.004508
1926-01-19,,,-0.01154,-0.01154
1926-01-20,,,0.006186,0.006186
1926-01-21,,,-0.00873,-0.008789
1926-01-22,,,0.006297,0.006297
1926-01-23,,,0.004987,0.004987
1926-01-25,,,0.005291,0.00526
1926-01-26,,,-0.00596,-0.00596
1926-01-27,,,0.006636,0.006636
1926-01-28,,,0.003137,0.003137
1926-01-29,,,0.009238,0.008616
1926-01-30,,,9e-06,9e-06
1926-02-01,,,-0.004103,-0.004593
1926-02-02,,,0.00601,0.00601
1926-02-03,,,0.004727,0.004727
1926-02-04,,,0.00478,0.00478
1926-02-05,,,-0.001882,-0.001882
1926-02-06,,,-8.3e-05,-8.3e-05
1926-02-08,,,-0.005627,-0.005919
1926-02-09,,,0.003226,0.003226
1926-02-10,,,0.003489,0.003001
1926-02-11,,,0.001654,0.001557
1926-02-13,,,0.000201,0.000201
1926-02-15,,,-0.019985,-0.020015
1926-02-16,,,0.004441,0.004441
1926-02-17,,,0.006048,0.006048
1926-02-18,,,0.001275,0.001258
1926-02-19,,,0.000347,-0.000143
1926-02-20,,,-0.001093,-0.001093
1926-02-23,,,-0.009545,-0.010135
1926-02-24,,,-0.004227,-0.004227
1926-02-25,,,-0.012444,-0.012787
1926-02-26,,,-0.012005,-0.013788
1926-02-27,,,0.001351,0.001351
1926-03-01,,,-0.015197,-0.015683
1926-03-02,,,-0.024114,-0.024114
1926-03-03,,,-0.016808,-0.017186
1926-03-04,,,0.042271,0.042271
1926-03-05,,,0.003787,0.003059
1926-03-06,,,-0.004807,-0.004807
1926-03-08,,,-0.004643,-0.004643
1926-03-09,,,0.005346,0.004917
1926-03-10,,,0.009818,0.009818
1926-03-11,,,0.006455,0.006398
1926-03-12,,,0.003321,0.003032
1926-03-13,,,-0.017525,-0.017525
1926-03-15,,,0.003143,0.002884
1926-03-16,,,-0.003979,-0.003979
1926-03-17,,,-0.004902,-0.004937
1926-03-18,,,-0.01217,-0.012573
1926-03-19,,,-0.00574,-0.005852
1926-03-20,,,0.001846,0.001846
1926-03-22,,,0.008015,0.008015
1926-03-23,,,-0.006485,-0.006485
1926-03-24,,,-0.016473,-0.016473
1926-03-25,,,-0.001399,-0.00154
1926-03-26,,,0.002685,0.002169
1926-03-27,,,-0.010038,-0.010038
1926-03-29,,,-0.022317,-0.022425
1926-03-30,,,-0.012175,-0.012175
1926-03-31,,,0.034989,0.034544
1926-04-01,,,0.003967,0.003303
1926-04-03,,,-0.000236,-0.000236
1926-04-05,,,0.0051,0.0051
1926-04-06,,,0.009555,0.009555
1926-04-07,,,-0.004164,-0.004164
1926-04-08,,,-0.004319,-0.004319
1926-04-09,,,0.000677,0.000405
1926-04-10,,,-0.003047,-0.003047
1926-04-12,,,-0.019107,-0.019107
1926-04-13,,,0.010267,0.010166
1926-04-14,,,-0.012908,-0.013064
1926-04-15,,,0.002818,0.002628
1926-04-16,,,4.2e-05,-0.000336
1926-04-17,,,0.002807,0.002807
1926-04-19,,,0.000777,0.000777
1926-04-20,,,0.004656,0.004656
1926-04-21,,,0.015531,0.015468
1926-04-22,,,0.009272,0.009272
1926-04-23,,,0.011533,0.011501
1926-04-24,,,0.00677,0.00677
1926-04-26,,,-0.006923,-0.006923
1926-04-27,,,-0.001158,-0.001158
1926-04-28,,,0.006942,0.006942
1926-04-29,,,0.001811,0.001364
1926-04-30,,,-0.002338,-0.003643
1926-05-01,,,-0.001858,-0.001858
1926-05-03,,,-0.016543,-0.016543
1926-05-04,,,0.004776,0.004776
1926-05-05,,,0.001722,0.001722
1926-05-06,,,0.002038,0.002038
1926-05-07,,,-0.008789,-0.008941
1926-05-08,,,-0.000664,-0.000664
1926-05-10,,,-0.00446,-0.004622
1926-05-11,,,0.000599,0.000263
1926-05-12,,,0.003519,0.003519
1926-05-13,,,-0.002317,-0.002317
1926-05-14,,,-0.001665,-0.001858
1926-05-15,,,-0.002386,-0.002386
1926-05-17,,,-0.000567,-0.000567
1926-05-18,,,-0.001398,-0.001398
1926-05-19,,,-0.001767,-0.001852
1926-05-20,,,0.009557,0.009111
1926-05-21,,,0.007051,0.007051
1926-05-22,,,0.004523,0.004523
1926-05-24,,,0.002977,0.000904
1926-05-25,,,0.00402,0.00402
1926-05-26,,,0.006062,0.006062
1926-05-27,,,0.002671,0.002317
1926-05-28,,,0.006871,0.006047
1926-06-01,,,-0.004991,-0.006218
1926-06-02,,,0.004769,0.004769
1926-06-03,,,0.004452,0.004452
1926-06-04,,,0.001589,0.000412
1926-06-05,,,0.000211,0.000211
1926-06-07,,,0.001872,0.001381
1926-06-08,,,0.00104,0.000925
1926-06-09,,,0.000579,0.00048
1926-06-10,,,0.001475,0.001475
1926-06-11,,,0.009138,0.009
1926-06-12,,,0.006479,0.006479
1926-06-14,,,0.005434,0.005405
1926-06-15,,,7.2e-05,-0.000594
1926-06-16,,,0.005739,0.005739
1926-06-17,,,0.008465,0.008377
1926-06-18,,,-0.007409,-0.007637
1926-06-19,,,0.008156,0.008156
1926-06-21,,,0.003165,0.003061
1926-06-22,,,0.002162,0.002162
1926-06-23,,,-0.007393,-0.007393
1926-06-24,,,0.002784,0.002784
1926-06-25,,,-0.002794,-0.003859
1926-06-26,,,-0.000521,-0.000521
1926-06-28,,,0.002784,0.002744
1926-06-29,,,0.005671,0.005671
1926-06-30,,,0.002463,0.00181
1926-07-01,,,0.002716,0.002667
1926-07-02,,,0.004275,0.004056
1926-07-06,,,0.000781,0.000781
1926-07-07,,,0.002074,0.002074
1926-07-08,,,0.002242,0.002242
1926-07-09,,,-0.007629,-0.007941
1926-07-10,,,0.006689,0.006689
1926-07-12,,,0.001369,0.00128
1926-07-13,,,0.005007,0.005007
1926-07-14,,,0.00077,0.00077
1926-07-15,,,-0.004439,-0.005
1926-07-16,,,0.005231,0.004963
1926-07-17,,,0.004408,0.004408
1926-07-19,,,0.000239,0.000239
1926-07-20,,,-0.006844,-0.006901
