caldt,spindx,sprtrn,vwretd,vwretx
1925-12-31,12.46,,,
1926-01-30,12.74,0.022472,-0.001783,-0.00398
1926-02-27,12.18,-0.043956,-0.033297,-0.037876
1926-03-31,11.46,-0.059113,-0.057708,-0.062007
1926-04-30,11.72,0.022688,0.038522,0.034856
1926-05-28,11.81,0.007679,0.013623,0.00907
1926-06-30,12.32,0.043184,0.056427,0.050196
1926-07-31,12.88,0.045455,0.040403,0.038168
1926-08-31,13.1,0.017081,0.029822,0.025747
1926-09-30,13.4,0.022901,0.01342,0.009122
1926-10-30,12.98,-0.031343,-0.030172,-0.032434
1926-11-30,13.27,0.022342,0.026937,0.019367
1926-12-31,13.49,0.016579,0.026047,0.020321
1927-01-31,13.21,-0.020756,-0.00291,-0.005579
1927-02-28,13.84,0.047691,0.045522,0.040566
1927-03-31,13.93,0.006503,0.007324,0.00261
1927-04-30,14.17,0.017229,0.013021,0.010907
1927-05-31,14.91,0.052223,0.062353,0.057096
1927-06-30,14.77,-0.00939,-0.02037,-0.025705
1927-07-30,15.73,0.064997,0.08445,0.081687
1927-08-31,16.43,0.044501,0.03332,0.028624
1927-09-30,17.14,0.043214,0.053016,0.049095
1927-10-31,16.23,-0.053092,-0.046804,-0.04896
1927-11-30,17.33,0.067776,0.070546,0.06427
1927-12-31,17.66,0.019042,0.019295,0.014403
1928-01-31,17.57,-0.005096,-0.007182,-0.0092
1928-02-29,17.26,-0.017644,-0.012549,-0.016679
1928-03-31,19.13,0.108343,0.105752,0.101652
1928-04-30,19.75,0.03241,0.034725,0.032715
1928-05-31,20.0,0.012658,0.012325,0.007422
1928-06-30,19.19,-0.0405,-0.03433,-0.038725
1928-07-31,19.43,0.012507,0.010117,0.008278
1928-08-31,20.87,0.074112,0.07023,0.065514
1928-09-29,21.37,0.023958,0.022409,0.019937
1928-10-31,21.68,0.014506,0.013839,0.012055
1928-11-30,24.28,0.119926,0.122975,0.116704
1928-12-31,24.35,0.002883,0.006232,0.002888
1929-01-31,25.74,0.057084,0.055473,0.053892
1929-02-28,25.59,-0.005828,-0.004874,-0.008075
1929-03-28,25.53,-0.002345,0.000154,-0.003213
1929-04-30,25.94,0.01606,0.019559,0.018234
1929-05-31,24.83,-0.042791,-0.041281,-0.046101
1929-06-29,27.62,0.112364,0.112293,0.109584
1929-07-31,28.88,0.045619,0.050014,0.048186
1929-08-30,31.71,0.097992,0.094871,0.090733
1929-09-30,30.16,-0.048881,-0.050941,-0.053046
1929-10-31,24.15,-0.199271,-0.18615,-0.188115
1929-11-27,20.92,-0.133747,-0.125359,-0.130374
1929-12-31,21.45,0.025335,0.027753,0.023571
1930-01-31,22.79,0.062471,0.059632,0.057032
1930-02-28,23.28,0.021501,0.026041,0.021516
1930-03-31,25.14,0.079897,0.072348,0.069352
1930-04-30,24.9,-0.009547,-0.013938,-0.015867
1930-05-29,24.49,-0.016466,-0.011148,-0.015304
1930-06-30,20.46,-0.164557,-0.155715,-0.159182
