,tic
0,MMM
1,ABT
2,ABBV
3,ABMD
4,ACN
5,ATVI
6,ADBE
7,AMD
8,AAP
9,AES
10,AFL
11,A
12,APD
13,AKAM
14,ALK
15,ALB
16,ARE
17,ALGN
18,ALLE
19,LNT
20,ALL
21,GOOGL
22,GOOG
23,MO
24,AMZN
25,AMCR
26,AEE
27,AAL
28,AEP
29,AXP
30,AIG
31,AMT
32,AWK
33,AMP
34,ABC
35,AME
36,AMGN
37,APH
38,ADI
39,ANSS
40,ANTM
41,AON
42,AOS
43,APA
44,AAPL
45,AMAT
46,APTV
47,ADM
48,ANET
49,AJG
50,AIZ
51,T
52,ATO
53,ADSK
54,ADP
55,AZO
56,AVB
57,AVY
58,BKR
59,BLL
60,BAC
61,BBWI
62,BAX
63,BDX
64,BRK-B
65,BBY
66,BIO
67,TECH
68,BIIB
69,BLK
70,BK
71,BA
72,BKNG
73,BWA
74,BXP
75,BSX
76,BMY
77,AVGO
78,BR
79,BRO
80,BF-B
81,CHRW
82,CDNS
83,CZR
84,CPB
85,COF
86,CAH
87,KMX
88,CCL
89,CARR
90,CTLT
91,CAT
92,CBOE
93,CBRE
94,CDW
95,CE
96,CNC
97,CNP
98,CDAY
99,CERN
100,CF
101,CRL
102,SCHW
103,CHTR
104,CVX
105,CMG
106,CB
107,CHD
108,CI
109,CINF
110,CTAS
111,CSCO
112,C
113,CFG
114,CTXS
115,CLX
116,CME
117,CMS
118,KO
119,CTSH
120,CL
121,CMCSA
122,CMA
123,CAG
124,COP
125,ED
126,STZ
127,COO
128,CPRT
129,GLW
130,CTVA
131,COST
132,CTRA
133,CCI
134,CSX
135,CMI
136,CVS
137,DHI
138,DHR
139,DRI
140,DVA
141,DE
142,DAL
143,XRAY
144,DVN
145,DXCM
146,FANG
147,DLR
148,DFS
149,DISCA
150,DISCK
151,DISH
152,DG
153,DLTR
154,D
155,DPZ
156,DOV
157,DOW
158,DTE
159,DUK
160,DRE
161,DD
162,DXC
163,EMN
164,ETN
165,EBAY
166,ECL
167,EIX
168,EW
169,EA
170,EMR
171,ENPH
172,ETR
173,EOG
174,EFX
175,EQIX
176,EQR
177,ESS
178,EL
179,ETSY
180,EVRG
181,ES
182,RE
183,EXC
184,EXPE
185,EXPD
186,EXR
187,XOM
188,FFIV
189,FB
190,FAST
191,FRT
192,FDX
193,FIS
194,FITB
195,FE
196,FRC
197,FISV
198,FLT
199,FMC
200,F
201,FTNT
202,FTV
203,FBHS
204,FOXA
205,FOX
206,BEN
207,FCX
208,GPS
209,GRMN
210,IT
211,GNRC
212,GD
213,GE
214,GIS
215,GM
216,GPC
217,GILD
218,GL
219,GPN
220,GS
221,GWW
222,HAL
223,HBI
224,HIG
225,HAS
226,HCA
227,PEAK
228,HSIC
229,HSY
230,HES
231,HPE
232,HLT
233,HOLX
234,HD
235,HON
236,HRL
237,HST
238,HWM
239,HPQ
240,HUM
241,HBAN
242,HII
243,IEX
244,IDXX
245,INFO
246,ITW
247,ILMN
248,INCY
249,IR
250,INTC
251,ICE
252,IBM
253,IP
254,IPG
255,IFF
256,INTU
257,ISRG
258,IVZ
259,IPGP
260,IQV
261,IRM
262,JKHY
263,J
264,JBHT
265,SJM
266,JNJ
267,JCI
268,JPM
269,JNPR
270,KSU
271,K
272,KEY
273,KEYS
274,KMB
275,KIM
276,KMI
277,KLAC
278,KHC
279,KR
280,LHX
281,LH
282,LRCX
283,LW
284,LVS
285,LEG
286,LDOS
287,LEN
288,LLY
289,LNC
290,LIN
291,LYV
292,LKQ
293,LMT
294,L
295,LOW
296,LUMN
297,LYB
298,MTB
299,MRO
300,MPC
301,MKTX
302,MAR
303,MMC
304,MLM
305,MAS
306,MA
307,MTCH
308,MKC
309,MCD
310,MCK
311,MDT
312,MRK
313,MET
314,MTD
315,MGM
316,MCHP
317,MU
318,MSFT
319,MAA
320,MRNA
321,MHK
322,TAP
323,MDLZ
324,MPWR
325,MNST
326,MCO
327,MS
328,MOS
329,MSI
330,MSCI
331,NDAQ
332,NTAP
333,NFLX
334,NWL
335,NEM
