Timestamp,Which course section are you enrolled in?,Do you consider yourself (does not need to match any official status)…,Which (if any) have you completed? [Undergraduate degree],Which (if any) have you completed? [Graduate degree],"Core finance concepts (e.g., time-value of money, risk and return, NPV and IRR, stock and bond valuation, CAPM)","Hands-on, real-money trading, investment management, or portfolio construction",Computer programming (with any languages/application),Python,Microsoft Excel,Bloomberg Terminal,Data analysis and visualization (with any tools/applications),"Statistics, inference, prediction (with any tools/applications)",Would you say you generally prefer to work individually or in groups?,Would you say you generally prefer to work slowly and carefully (even if it takes too long to reach a conclusion) or quickly and decisively (even if you make some unnecessary mistakes)?,Would you say your overall preference for our FDAP course is to have a moderate workload (even if you learn less) or to learn as much as possible (even if you have to work very hard)?,"Suppose that the average course grade in our course winds up being a B+. (Note: There is not a forced curve; this is just a hypothetical to understand your style.) Would you say your overall preference is that the class receive a narrower distribution (e.g., relatively more A– and Bs) or a wider grade distribution (e.g., relatively more A and B–s)?"
1970/01/01 0:00:00 AM EST,Monday/Wednesday 9:45am,U.S. (domestic) student,Non-finance,Finance (or closely related field),10,3,8,7,9,2,9,9,3,2,6,5
2025/01/21 4:14:41 PM EST,Tuesday/Thursday 9:45am,International student,Finance (or closely related field),None,8,7,5,5,8,7,7,7,5,5,7,5
2025/01/21 4:23:08 PM EST,Tuesday/Thursday 11:15am,International student,Finance (or closely related field),None,8,7,5,7,8,8,5,6,4,5,10,10
2025/01/21 4:34:17 PM EST,Tuesday/Thursday 11:15am,U.S. (domestic) student,Finance (or closely related field),None,8,0,1,2,8,6,6,8,4,0,7,3
2025/01/21 5:06:17 PM EST,Monday/Wednesday 11:15am,International student,Finance (or closely related field),Finance (or closely related field),7,2,5,6,7,6,6,6,8,2,2,10
2025/01/21 5:06:40 PM EST,Tuesday/Thursday 9:45am,International student,Non-finance,Non-finance,4,0,0,0,3,4,0,0,3,4,3,10
2025/01/21 5:15:06 PM EST,Monday/Wednesday 9:45am,U.S. (domestic) student,Finance (or closely related field),None,7,4,6,4,9,8,7,6,8,8,10,3
2025/01/21 5:29:28 PM EST,Monday/Wednesday 11:15am,International student,Finance (or closely related field),Finance (or closely related field),8,5,0,0,8,6,8,8,7,6,8,0
2025/01/21 5:40:55 PM EST,Monday/Wednesday 9:45am,International student,Finance (or closely related field),None,8,8,3,2,9,7,2,8,5,2,8,5
2025/01/21 6:26:59 PM EST,Monday/Wednesday 9:45am,U.S. (domestic) student,Finance (or closely related field),None,6,2,0,0,6,4,5,5,7,3,7,2
2025/01/21 6:32:52 PM EST,Monday/Wednesday 11:15am,U.S. (domestic) student,Non-finance,None,6,1,1,1,7,5,5,4,6,6,10,10
2025/01/21 7:43:27 PM EST,Monday/Wednesday 11:15am,U.S. (domestic) student,Finance (or closely related field),None,8,5,6,3,9,9,7,8,10,4,2,3
2025/01/21 7:55:49 PM EST,Monday/Wednesday 9:45am,International student,Finance (or closely related field),None,2,0,0,1,5,5,2,2,7,7,5,3
2025/01/21 9:03:44 PM EST,Monday/Wednesday 11:15am,U.S. (domestic) student,Finance (or closely related field),None,9,8,3,2,7,5,3,3,5,4,3,8
2025/01/21 9:25:29 PM EST,Monday/Wednesday 11:15am,U.S. (domestic) student,Finance (or closely related field),None,8,2,3,0,7,4,3,3,4,6,8,7
2025/01/21 11:03:14 PM EST,Tuesday/Thursday 11:15am,U.S. (domestic) student,Finance (or closely related field),None,8,7,0,0,7,7,5,2,7,4,6,4
2025/01/22 8:13:48 AM EST,Monday/Wednesday 11:15am,International student,Finance (or closely related field),None,9,8,4,2,8,7,6,8,7,10,10,10
2025/01/22 10:29:28 AM EST,Tuesday/Thursday 9:45am,International student,Finance (or closely related field),None,9,7,7,1,8,7,9,9,4,3,5,7
2025/01/22 10:55:01 AM EST,Tuesday/Thursday 9:45am,International student,Non-finance,None,8,7,7,7,9,6,8,9,5,3,3,8
2025/01/22 11:08:59 AM EST,Tuesday/Thursday 9:45am,U.S. (domestic) student,Finance (or closely related field),None,9,2,0,0,10,8,1,7,9,4,6,3
2025/01/22 11:18:02 AM EST,Monday/Wednesday 11:15am,International student,Finance (or closely related field),None,8,0,3,2,8,7,7,5,5,6,10,8
2025/01/22 11:22:54 AM EST,Monday/Wednesday 9:45am,International student,Finance (or closely related field),Finance (or closely related field),9,5,5,4,7,6,5,7,8,5,6,7
2025/01/22 11:29:51 AM EST,Tuesday/Thursday 9:45am,International student,Finance (or closely related field),None,8,6,2,2,8,7,7,5,6,3,6,6
2025/01/22 11:34:57 AM EST,Tuesday/Thursday 9:45am,International student,Finance (or closely related field),Finance (or closely related field),8,6,5,3,8,8,8,5,5,2,8,3
2025/01/22 11:38:05 AM EST,Monday/Wednesday 9:45am,U.S. (domestic) student,Non-finance,None,5,2,0,0,8,7,2,4,6,1,1,2
2025/01/22 12:59:59 PM EST,Tuesday/Thursday 11:15am,U.S. (domestic) student,Finance (or closely related field),None,9,4,4,1,8,7,5,2,7,2,10,5
2025/01/22 1:07:31 PM EST,Tuesday/Thursday 9:45am,U.S. (domestic) student,Non-finance,None,4,1,1,1,4,2,2,2,8,1,5,3
2025/01/22 1:46:31 PM EST,Tuesday/Thursday 11:15am,U.S. (domestic) student,Finance (or closely related field),None,6,7,3,3,8,7,5,3,7,5,7,3
2025/01/22 1:48:52 PM EST,Tuesday/Thursday 11:15am,International student,Finance (or closely related field),None,6,6,0,0,8,6,6,3,7,5,8,5
2025/01/22 2:12:51 PM EST,Monday/Wednesday 11:15am,U.S. (domestic) student,Non-finance,None,7,5,7,6,9,7,7,6,8,5,4,3
2025/01/22 2:47:42 PM EST,Tuesday/Thursday 11:15am,International student,Finance (or closely related field),None,8,8,3,2,7,4,3,3,5,0,10,3
